camera_id,observed_at,plate_text,plate_normalised,plate_confidence,format_valid,frames_voted,vehicle_class,vehicle_colour
cam06,2026-09-23T10:43:30.806803+00:00,71114,71114,0.4682,False,11,motorcycle,black
cam06,2026-09-23T10:43:31.966803+00:00,AA114,AA114,0.7248,False,2,motorcycle,blue
cam05,2026-09-23T10:43:30.292687+00:00,___8,8,0.8012,False,3,car,red
cam06,2026-09-23T10:44:49.403384+00:00,T40014,T40014,0.3374,False,15,motorcycle,blue
cam04,2026-09-23T10:43:28.175852+00:00,___8,8,0.8860,False,2,car,purple
cam06,2026-09-23T10:45:52.310708+00:00,13345,13345,1.0000,False,1,car,silver
cam06,2026-09-23T10:45:53.310708+00:00,GKE6605,GKE6605,0.8719,False,2,truck,blue
cam03,2026-09-23T10:48:00.957046+00:00,___3,3,1.0000,False,1,bus,yellow
cam06,2026-09-23T10:48:15.209528+00:00,134044,134044,0.7922,False,2,motorcycle,blue
cam06,2026-09-23T10:48:15.369528+00:00,4344115,4344115,0.4318,False,4,motorcycle,blue
cam06,2026-09-23T10:48:33.209528+00:00,11C43555,11C43555,0.8217,False,2,car,silver
cam02,2026-09-23T10:47:22.837228+00:00,C0_00,C000,1.0000,False,1,truck,yellow
cam06,2026-09-23T10:48:34.089528+00:00,G144E64,G144E64,0.7114,False,2,car,blue
cam06,2026-09-23T10:48:34.289528+00:00,A444V1,A444V1,0.5409,False,5,motorcycle,black
cam06,2026-09-23T10:48:34.409528+00:00,G341288,G341288,0.6094,False,7,car,white
cam01,2026-09-23T10:49:25.487433+00:00,C1I00777,C1I00777,1.0000,False,1,bus,black
cam06,2026-09-23T10:48:34.929528+00:00,6344288,6344288,0.4834,False,13,car,white
cam06,2026-09-23T10:48:41.969528+00:00,VC4411,VC4411,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:48:42.129528+00:00,G111CK704,G111CK704,0.8746,False,2,motorcycle,black
cam06,2026-09-23T10:48:42.169528+00:00,VC4411,VC4411,0.6258,False,2,motorcycle,blue
cam06,2026-09-23T10:43:30.406803+00:00,71114,71114,0.6285,False,5,motorcycle,black
cam06,2026-09-23T10:44:47.923384+00:00,TVM114,TVM114,0.5217,False,3,motorcycle,black
cam06,2026-09-23T10:44:49.083384+00:00,W401V41,W401V41,0.3582,False,12,motorcycle,blue
cam06,2026-09-23T10:44:49.243384+00:00,T40114,T40114,0.3489,False,13,motorcycle,blue
cam06,2026-09-23T10:44:49.563384+00:00,V40114,V40114,0.3319,False,16,motorcycle,gray
cam06,2026-09-23T10:44:49.803384+00:00,WAA164H,WAA164H,0.3331,False,18,motorcycle,blue
cam06,2026-09-23T10:44:50.003384+00:00,11114,11114,0.8011,False,3,motorcycle,black
cam06,2026-09-23T10:46:00.350708+00:00,GJ1967_5,GJ19675,1.0000,False,1,truck,blue
cam06,2026-09-23T10:46:35.910708+00:00,2273,2273,1.0000,False,1,car,blue
cam04,2026-09-23T10:46:06.536738+00:00,194220,194220,0.7353,False,2,car,black
cam04,2026-09-23T10:46:07.256738+00:00,___8,8,0.8860,False,2,car,purple
cam06,2026-09-23T10:48:15.569528+00:00,114444,114444,0.6153,False,4,motorcycle,blue
cam06,2026-09-23T10:48:32.929528+00:00,33353,33353,1.0000,False,1,car,blue
cam06,2026-09-23T10:48:34.489528+00:00,A44411,A44411,0.4990,False,6,motorcycle,black
cam02,2026-09-23T10:49:26.593452+00:00,_44,44,1.0000,False,1,car,black
cam01,2026-09-23T10:49:26.007433+00:00,CI10071,CI10071,0.8242,False,3,bus,black
cam01,2026-09-23T10:49:26.407433+00:00,CI10081,CI10081,0.7936,False,6,bus,black
cam06,2026-09-23T10:48:43.329528+00:00,GJ11CK004,GJ11CK004,0.7563,False,6,motorcycle,black
cam06,2026-09-23T10:48:43.489528+00:00,G9A1CK004,G9A1CK004,0.6922,False,10,motorcycle,black
cam03,2026-09-23T10:50:31.062365+00:00,___3,3,1.0000,False,1,bus,yellow
cam06,2026-09-23T10:48:55.369528+00:00,AH01V41,AH01V41,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:43:30.726803+00:00,71144,71144,0.5134,False,10,motorcycle,black
cam02,2026-09-23T10:43:36.454906+00:00,AW7414,AW7414,1.0000,False,1,bus,silver
cam06,2026-09-23T10:44:47.803384+00:00,CAR444,CAR444,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:44:47.883384+00:00,TVR444,TVR444,0.6899,False,2,motorcycle,black
cam06,2026-09-23T10:44:49.523384+00:00,WA00641,WA00641,0.3443,False,16,motorcycle,blue
cam06,2026-09-23T10:43:29.686803+00:00,WIATNAHH,WIATNAHH,1.0000,False,1,motorcycle,gray
cam06,2026-09-23T10:43:30.086803+00:00,31114,31114,0.7443,False,3,motorcycle,black
cam06,2026-09-23T10:44:49.803384+00:00,11144,11144,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:44:49.843384+00:00,W1A164H,W1A164H,0.3518,False,19,motorcycle,gray
cam06,2026-09-23T10:44:50.323384+00:00,71114,71114,0.6395,False,6,motorcycle,black
cam02,2026-09-23T10:44:56.430639+00:00,AW7414,AW7414,1.0000,False,1,bus,silver
cam06,2026-09-23T10:45:50.350708+00:00,GYE6600,GYE6600,0.7112,False,3,motorcycle,blue
cam06,2026-09-23T10:45:52.670708+00:00,GKE6005,GKE6005,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:45:53.510708+00:00,GKG6705,GKG6705,0.7397,False,6,truck,blue
cam04,2026-09-23T10:46:06.416738+00:00,___3,3,1.0000,False,1,car,black
cam06,2026-09-23T10:47:18.270708+00:00,GJ11EB94O2,GJ11EB94O2,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:48:20.489528+00:00,GY116X0,GY116X0,1.0000,False,1,motorcycle,blue
cam02,2026-09-23T10:47:22.377228+00:00,___0,0,1.0000,False,1,car,purple
cam06,2026-09-23T10:48:34.129528+00:00,L4442N,L4442N,0.6373,False,3,motorcycle,black
cam01,2026-09-23T10:49:25.687433+00:00,C1111771,C1111771,0.7973,False,2,bus,black
cam06,2026-09-23T10:48:41.969528+00:00,G1A16K704,G1A16K704,1.0000,False,1,motorcycle,black
cam04,2026-09-23T10:43:27.335852+00:00,___3,3,1.0000,False,1,car,black
cam04,2026-09-23T10:43:27.455852+00:00,194220,194220,0.7353,False,2,car,black
cam06,2026-09-23T10:43:32.086803+00:00,WA114,WA114,0.5537,False,4,motorcycle,blue
cam06,2026-09-23T10:43:32.166803+00:00,WN114,WN114,0.4874,False,5,motorcycle,blue
cam05,2026-09-23T10:43:30.052687+00:00,___0,0,0.6926,False,2,car,red
cam06,2026-09-23T10:44:48.363384+00:00,T44144,T44144,0.5013,False,5,motorcycle,black
cam06,2026-09-23T10:43:29.806803+00:00,VTATNAH4,VTATNAH4,0.7526,False,2,motorcycle,blue
cam06,2026-09-23T10:43:29.926803+00:00,VUATTHH,VUATTHH,0.6454,False,3,motorcycle,gray
cam06,2026-09-23T10:44:49.163384+00:00,T44144,T44144,0.3622,False,12,motorcycle,blue
cam06,2026-09-23T10:44:49.683384+00:00,WA0164H,WA0164H,0.3308,False,17,motorcycle,blue
cam06,2026-09-23T10:45:50.430708+00:00,GYE6605,GYE6605,0.6831,False,5,motorcycle,blue
cam06,2026-09-23T10:45:52.510708+00:00,51511744,51511744,1.0000,False,1,car,blue
cam06,2026-09-23T10:45:53.390708+00:00,GKA6705,GKA6705,0.8682,False,3,truck,blue
cam01,2026-09-23T10:43:32.057524+00:00,_MC40,MC40,1.0000,False,1,car,orange
cam06,2026-09-23T10:46:00.390708+00:00,GJ186705,GJ186705,0.9092,False,2,truck,blue
cam06,2026-09-23T10:48:42.249528+00:00,VC4414,VC4414,0.5731,False,3,motorcycle,blue
cam06,2026-09-23T10:48:43.809528+00:00,G9AACK004,G9AACK004,0.6762,False,18,motorcycle,black
cam06,2026-09-23T10:48:52.089528+00:00,WMIANMA,WMIANMA,1.0000,False,1,motorcycle,gray
cam06,2026-09-23T10:48:53.649528+00:00,WI1483,WI1483,0.7824,False,2,motorcycle,black
cam06,2026-09-23T10:48:54.209528+00:00,VG111,VG111,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:48:55.449528+00:00,A411V41,A411V41,0.7912,False,2,motorcycle,blue
cam05,2026-09-23T10:47:10.155321+00:00,___000,000,1.0000,False,1,car,red
cam01,2026-09-23T10:46:36.048551+00:00,14,14,1.0000,False,1,car,orange
cam06,2026-09-23T10:48:15.049528+00:00,135,135,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:48:15.329528+00:00,43W1955,43W1955,0.4795,False,3,motorcycle,blue
cam06,2026-09-23T10:48:20.609528+00:00,GYE6600,GYE6600,0.7112,False,3,motorcycle,blue
cam06,2026-09-23T10:48:20.689528+00:00,GYE6605,GYE6605,0.6831,False,5,motorcycle,blue
cam06,2026-09-23T10:48:33.249528+00:00,11C43255,11C43255,0.7603,False,3,car,silver
cam06,2026-09-23T10:43:29.886803+00:00,11144,11144,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:48:33.649528+00:00,1144WVN,1144WVN,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:48:33.729528+00:00,V441WNN,V441WNN,0.7765,False,2,motorcycle,black
cam06,2026-09-23T10:48:34.009528+00:00,11443U,11443U,1.0000,False,1,car,blue
cam06,2026-09-23T10:48:34.249528+00:00,G141283,G141283,0.6897,False,4,car,cyan
cam06,2026-09-23T10:48:34.689528+00:00,G344288,G344288,0.5554,False,10,car,white
cam06,2026-09-23T10:48:34.969528+00:00,6334288,6334288,0.4694,False,14,car,white
cam01,2026-09-23T10:49:26.087433+00:00,C110081,C110081,0.8328,False,4,bus,black
cam06,2026-09-23T10:48:42.169528+00:00,G111CK104,G111CK104,0.8752,False,3,motorcycle,black
cam06,2026-09-23T10:48:43.449528+00:00,GJA1CK004,GJA1CK004,0.6944,False,9,motorcycle,black
cam06,2026-09-23T10:48:43.889528+00:00,41111,41111,0.8530,False,4,motorcycle,blue
cam06,2026-09-23T10:48:43.889528+00:00,99AACK004,99AACK004,0.6803,False,20,motorcycle,black
cam06,2026-09-23T10:48:43.969528+00:00,1411,1411,0.9576,False,5,motorcycle,blue
cam06,2026-09-23T10:48:53.609528+00:00,WL1484,WL1484,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:48:55.609528+00:00,V411441,V411441,0.6364,False,5,motorcycle,blue
cam06,2026-09-23T10:50:58.554853+00:00,GKG6705,GKG6705,0.7397,False,6,truck,blue
cam06,2026-09-23T10:52:00.206534+00:00,GY116X0,GY116X0,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:52:00.406534+00:00,GYE6605,GYE6605,0.6831,False,5,motorcycle,blue
cam06,2026-09-23T10:52:03.486534+00:00,GKG6705,GKG6705,0.7397,False,6,truck,blue
cam06,2026-09-23T10:53:00.186175+00:00,134044,134044,0.8653,False,2,motorcycle,blue
cam06,2026-09-23T10:53:00.546175+00:00,131044,131044,0.6083,False,3,motorcycle,blue
cam06,2026-09-23T10:53:18.986175+00:00,11443U,11443U,1.0000,False,1,car,blue
cam06,2026-09-23T10:53:19.226175+00:00,G141283,G141283,0.6897,False,4,car,cyan
cam06,2026-09-23T10:48:55.649528+00:00,V410441,V410441,0.5469,False,6,motorcycle,blue
cam06,2026-09-23T10:50:55.394853+00:00,GYE6600,GYE6600,0.7112,False,3,motorcycle,blue
cam06,2026-09-23T10:50:57.554853+00:00,51511744,51511744,1.0000,False,1,car,blue
cam06,2026-09-23T10:53:18.706175+00:00,V41NWN,V41NWN,0.7089,False,2,motorcycle,black
cam06,2026-09-23T10:53:19.266175+00:00,V41NV1,V41NV1,0.4773,False,5,motorcycle,black
cam06,2026-09-23T10:50:55.274853+00:00,GY116X0,GY116X0,1.0000,False,1,motorcycle,blue
cam02,2026-09-23T10:50:57.442275+00:00,GJ186705,GJ186705,0.9100,False,6,car,white
cam06,2026-09-23T10:50:55.474853+00:00,GYE6605,GYE6605,0.6831,False,5,motorcycle,blue
cam06,2026-09-23T10:50:57.354853+00:00,13345,13345,1.0000,False,1,car,silver
cam06,2026-09-23T10:50:57.714853+00:00,GKE6005,GKE6005,1.0000,False,1,motorcycle,blue
cam03,2026-09-23T10:51:17.467292+00:00,GJ1B67OS,GJ1B67OS,0.6800,False,4,truck,blue
cam06,2026-09-23T10:50:58.354853+00:00,GKE6605,GKE6605,0.8719,False,2,truck,blue
cam06,2026-09-23T10:50:58.434853+00:00,GKA6705,GKA6705,0.8682,False,3,truck,blue
cam04,2026-09-23T10:50:08.619901+00:00,_4,4,1.0000,False,1,car,white
cam04,2026-09-23T10:51:35.983802+00:00,__1,1,1.0000,False,1,car,white
cam01,2026-09-23T10:49:32.090433+00:00,C14800,C14800,1.0000,False,1,car,white
cam06,2026-09-23T10:52:00.326534+00:00,GYE6600,GYE6600,0.7112,False,3,motorcycle,blue
cam06,2026-09-23T10:52:02.286534+00:00,13345,13345,1.0000,False,1,car,silver
cam06,2026-09-23T10:52:02.486534+00:00,51511744,51511744,1.0000,False,1,car,blue
cam06,2026-09-23T10:52:02.646534+00:00,GKE6005,GKE6005,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:52:03.286534+00:00,GKE6605,GKE6605,0.8719,False,2,truck,blue
cam06,2026-09-23T10:52:03.366534+00:00,GKA6705,GKA6705,0.8682,False,3,truck,blue
cam04,2026-09-23T10:51:36.903802+00:00,___8,8,1.0000,False,1,car,blue
cam06,2026-09-23T10:52:09.086534+00:00,GLG6705,GLG6705,0.6778,False,13,truck,blue
cam06,2026-09-23T10:52:13.366534+00:00,11WNWV,11WNWV,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:52:13.446534+00:00,V41NWN,V41NWN,0.7089,False,2,motorcycle,black
cam06,2026-09-23T10:53:00.066175+00:00,1104,1104,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:53:00.346175+00:00,1A44115,1A44115,0.6463,False,3,motorcycle,blue
cam06,2026-09-23T10:53:18.626175+00:00,11WNWV,11WNWV,1.0000,False,1,motorcycle,black
cam06,2026-09-23T10:53:19.066175+00:00,G144E64,G144E64,0.7114,False,2,car,blue
cam06,2026-09-23T10:53:19.106175+00:00,G144383,G144383,0.6496,False,3,car,blue
cam06,2026-09-23T10:53:19.226175+00:00,V41NVN,V41NVN,0.5593,False,4,motorcycle,black
cam06,2026-09-23T10:53:19.266175+00:00,G341283,G341283,0.5987,False,5,car,white
cam06,2026-09-23T10:53:19.466175+00:00,V41N11,V41N11,0.4518,False,6,motorcycle,black
cam06,2026-09-23T10:53:19.386175+00:00,G341288,G341288,0.6094,False,7,car,white
cam06,2026-09-23T10:53:19.666175+00:00,G344288,G344288,0.5554,False,10,car,white
cam06,2026-09-23T10:53:19.866175+00:00,6344428,6344428,0.5107,False,13,car,white
